DATASET_BINARY
#Binary datasets are visualized as filled or empty symbols, depending on the value associated with a node (0 or 1).
#Each node can have multiple associated values, and each value will be represented by a symbol (defined in FIELD_SHAPES) with corresponding color and label (from FIELD_COLORS and FIELD_LABELS).
#Possible values (defined under DATA below) for each node are 1 (filled shapes), 0 (empty shapes) and -1 (completely omitted).

#lines starting with a hash are comments and ignored during parsing

#=================================================================#
#                    MANDATORY SETTINGS                           #
#=================================================================#
#select the separator which is used to delimit the data below (TAB,SPACE or COMMA).This separator must be used throughout this file (except in the SEPARATOR line, which uses space).
SEPARATOR TAB
##SEPARATOR SPACE
#SEPARATOR COMMA

#label is used in the legend table (can be changed later)
DATASET_LABEL	Drug_resistance

#dataset color (can be changed later)
COLOR	#ff0000

#shapes for each field column; possible choices are
#1: rectangle 
#2: circle
#3: star
#4: right pointing triangle
#5: left pointing triangle
#6: check mark
FIELD_SHAPES	1	2	3	4

#field labels
FIELD_LABELS	Susceptible	DR	MDR	XDR

#=================================================================#
#                    OPTIONAL SETTINGS                            #
#=================================================================#

#define colors for each individual field column (if not defined all symbols will use the main dataset color, defined in COLOR above)
FIELD_COLORS	#e8837d	#ace87d	#7de2e8	#b97de8


#=================================================================#
#     all other optional settings can be set or changed later     #
#           in the web interface (under 'Datasets' tab)           #
#=================================================================#

#Each dataset can have a legend, which is defined using LEGEND_XXX fields below
#For each row in the legend, there should be one shape, color and label.
#Optionally, you can define an exact legend position using LEGEND_POSITION_X and LEGEND_POSITION_Y. To use automatic legend positioning, do NOT define these values
#Optionally, shape scaling can be present (LEGEND_SHAPE_SCALES). For each shape, you can define a scaling factor between 0 and 1.
#Shape should be a number between 1 and 6, or any protein domain shape definition.
#1: square
#2: circle
#3: star
#4: right pointing triangle
#5: left pointing triangle
#6: checkmark

#LEGEND_TITLE,Dataset legend
#LEGEND_POSITION_X,100
#LEGEND_POSITION_Y,100
#LEGEND_SHAPES,1,2,3
#LEGEND_COLORS,#ff0000,#00ff00,#0000ff
#LEGEND_LABELS,value1,value2,value3
LEGEND_TITLE	Drug susceptibility
LEGEND_SHAPES	1	2	3	4
LEGEND_COLORS	#e8837d	#ace87d	#7de2e8	#b97de8
LEGEND_LABELS	Susceptible	DR	MDR	XDR

#always show internal values; if set, values associated to internal nodes will be displayed even if these nodes are not collapsed. It could cause overlapping in the dataset display.
#SHOW_INTERNAL,0

#show dashed lines between leaf labels and the dataset
#DASHED_LINES,1

#left margin, used to increase/decrease the spacing to the next dataset. Can be negative, causing datasets to overlap.
#MARGIN,0
#align symbols to the end of each leaf label (individual dataset field will not be aligned to each other)
#ALIGN_TO_LABELS,1

#symbol height factor; Default symbol height will be slightly less than the available space between leaves, but you can set a multiplication factor here to increase/decrease it (values from 0 to 1 will decrease it, values above 1 will increase it)
#HEIGHT_FACTOR,1

#increase/decrease the spacing between individual levels, when there is more than one binary level defined 
#SYMBOL_SPACING,10

#display or hide the text labels above each field column
#SHOW_LABELS,1

#Example dataset with 4 columns (circle, left triangle, right triangle and rectangle):
#FIELD_SHAPES,2,4,5,1
#FIELD_LABELS	Susceptible	DR	MDR	XDR,f2,f3,f4


#Internal tree nodes can be specified using IDs directly, or using the 'last common ancestor' method described in iTOL help pages
#=================================================================#
#       Actual data follows after the "DATA" keyword              #
#=================================================================#
DATA
#node 9606 will have a filled circle, empty left triangle, nothing in the 3rd column and an empty rectangle
#9606,1,0,-1,0



ERR757145	-1	-1	-1	1
ERR757146	-1	-1	-1	1
ERR757147	-1	-1	-1	1
ERR757148	-1	-1	-1	1
ERR757149	-1	1	-1	-1
ERR757150	-1	-1	-1	1
ERR757151	-1	-1	-1	1
ERR757159	-1	-1	-1	1
ERR757160	-1	-1	-1	1
ERR757161	-1	-1	-1	1
ERR757152	-1	-1	-1	1
ERR757162	-1	-1	-1	1
ERR757163	-1	-1	-1	1
ERR757164	-1	-1	-1	1
ERR757165	-1	-1	-1	1
ERR757166	-1	-1	1	-1
ERR757167	-1	-1	-1	1
ERR757168	-1	-1	-1	1
ERR757169	-1	-1	-1	1
ERR757170	-1	1	-1	-1
ERR757171	-1	-1	-1	1
ERR757172	-1	-1	-1	1
ERR757173	-1	-1	-1	1
ERR757174	-1	-1	-1	1
ERR757175	-1	-1	-1	1
ERR757176	-1	-1	-1	1
ERR757177	-1	-1	-1	1
ERR757178	-1	-1	-1	1
ERR757179	-1	-1	-1	1
ERR757180	-1	-1	-1	1
ERR757181	-1	-1	-1	1
ERR757182	-1	-1	-1	1
ERR757183	-1	-1	-1	1
ERR757184	-1	-1	-1	1
ERR757185	-1	-1	-1	1
ERR757186	-1	-1	-1	1
ERR757187	-1	-1	1	-1
ERR757188	-1	-1	-1	1
ERR757189	-1	-1	-1	1
ERR760809	-1	-1	-1	1
ERR760810	-1	-1	-1	1
ERR760811	-1	-1	-1	1
ERR760812	-1	-1	-1	1
ERR760813	-1	-1	-1	1
ERR760814	-1	-1	-1	1
ERR760815	-1	-1	-1	1
ERR760816	-1	-1	-1	1
ERR760817	-1	-1	-1	1
ERR760818	-1	-1	-1	1
ERR760819	-1	-1	-1	1
ERR760820	-1	-1	1	-1
ERR760821	-1	-1	-1	1
ERR760822	-1	-1	-1	1
ERR760823	-1	-1	-1	1
ERR760824	-1	-1	-1	1
ERR760825	-1	-1	-1	1
ERR760826	-1	-1	-1	1
ERR760827	-1	-1	-1	1
ERR760828	-1	-1	-1	1
ERR760829	-1	-1	-1	1
ERR760830	-1	-1	-1	1
ERR760831	-1	-1	-1	1
ERR760832	-1	-1	-1	1
ERR760833	-1	-1	-1	1
ERR760834	-1	-1	1	-1
ERR760835	-1	-1	-1	1
ERR760836	-1	-1	-1	1
ERR760837	-1	-1	-1	1
ERR760838	-1	-1	-1	1
ERR760839	-1	-1	1	-1
ERR760840	-1	-1	1	-1
ERR760841	-1	-1	-1	1
ERR760842	-1	-1	1	-1
ERR760843	-1	-1	1	-1
ERR760844	-1	-1	-1	1
ERR760845	-1	-1	-1	1
ERR760846	-1	-1	-1	1
ERR760847	-1	-1	-1	1
ERR760848	-1	-1	-1	1
ERR760849	-1	-1	1	-1
ERR760850	-1	-1	-1	1
ERR760851	-1	-1	-1	1
ERR760852	-1	-1	-1	1
ERR760853	-1	-1	-1	1
ERR760854	-1	-1	-1	1
ERR760855	-1	-1	-1	1
ERR760856	-1	-1	-1	1
ERR760857	-1	-1	-1	1
ERR760858	-1	-1	-1	1
ERR760859	-1	-1	-1	1
ERR760860	-1	-1	-1	1
ERR760861	-1	-1	-1	1
ERR760862	-1	-1	-1	1
ERR760863	-1	-1	-1	1
ERR760864	-1	-1	-1	1
ERR760865	-1	-1	-1	1
ERR760866	-1	-1	-1	1
ERR760867	-1	-1	-1	1
ERR760868	-1	-1	-1	1
ERR760869	-1	-1	-1	1
ERR760870	-1	-1	-1	1
ERR760871	-1	-1	-1	1
ERR760872	-1	-1	-1	1
ERR760873	-1	-1	-1	1
ERR760874	-1	-1	-1	1
ERR760875	-1	-1	-1	1
ERR760876	-1	-1	-1	1
ERR760877	-1	-1	1	-1
ERR760878	-1	-1	-1	1
ERR760879	-1	-1	-1	1
ERR760880	-1	-1	-1	1
ERR760881	-1	-1	-1	1
ERR760882	-1	-1	-1	1
ERR760883	-1	-1	-1	1
ERR760884	-1	-1	-1	1
ERR760885	-1	-1	-1	1
ERR760886	-1	-1	-1	1
ERR760887	-1	-1	-1	1
ERR760595	-1	-1	-1	1
ERR760596	-1	-1	-1	1
ERR760597	-1	-1	-1	1
ERR760598	-1	-1	-1	1
ERR760599	-1	-1	-1	1
ERR760600	-1	-1	-1	1
ERR760601	-1	-1	-1	1
ERR760602	-1	-1	-1	1
ERR760603	-1	-1	-1	1
ERR760604	-1	-1	-1	1
ERR760605	-1	1	-1	-1
ERR760607	-1	-1	-1	1
ERR760608	-1	-1	-1	1
ERR760609	-1	-1	-1	1
ERR760610	-1	-1	-1	1
ERR760611	-1	-1	-1	1
ERR760612	-1	-1	-1	1
ERR760731	-1	-1	-1	1
ERR760732	-1	-1	-1	1
ERR760733	-1	-1	-1	1
ERR760734	-1	-1	-1	1
ERR760735	-1	-1	-1	1
ERR760736	-1	-1	-1	1
ERR760737	-1	-1	-1	1
ERR760738	-1	-1	-1	1
ERR760739	-1	-1	-1	1
ERR760740	-1	-1	-1	1
ERR760741	-1	-1	-1	1
ERR760742	-1	-1	-1	1
ERR760743	-1	-1	-1	1
ERR760744	-1	-1	-1	1
ERR760745	-1	-1	-1	1
ERR760746	-1	-1	1	-1
ERR760747	-1	-1	-1	1
ERR760748	-1	-1	-1	1
ERR760749	-1	-1	1	-1
ERR760750	-1	-1	-1	1
ERR760751	-1	-1	-1	1
ERR760752	-1	-1	-1	1
ERR760753	-1	-1	-1	1
ERR760754	-1	-1	-1	1
ERR760755	-1	-1	-1	1
ERR760756	-1	-1	-1	1
ERR760757	-1	-1	-1	1
ERR760758	-1	-1	-1	1
ERR760759	-1	-1	-1	1
ERR760760	-1	-1	-1	1
ERR760761	-1	-1	-1	1
ERR760762	-1	-1	1	-1
ERR760763	-1	-1	-1	1
ERR760764	-1	-1	-1	1
ERR760765	-1	-1	-1	1
ERR760766	-1	-1	-1	1
ERR760767	-1	-1	-1	1
ERR760768	-1	-1	-1	1
ERR762352	-1	-1	-1	1
ERR760778	-1	-1	-1	1
ERR760779	-1	-1	-1	1
ERR760781	-1	-1	-1	1
