study_accession	sample_accession	experiment_accession	run_accession	tax_id	scientific_name	fastq_ftp	submitted_ftp	sra_ftp
PRJEB7669	SAMEA3231524	ERX701775	ERR757145	1773	Mycobacterium tuberculosis	ftp.sra.ebi.ac.uk/vol1/fastq/ERR757/ERR757145/ERR757145_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR757/ERR757145/ERR757145_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR757/ERR757145/Eldholm-TubDNA-M5_S6_L001_R1_001.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR757/ERR757145/Eldholm-TubDNA-M5_S6_L001_R2_001.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR757/ERR757145
PRJEB7669	SAMEA3231525	ERX701776	ERR757146	1773	Mycobacterium tuberculosis	ftp.sra.ebi.ac.uk/vol1/fastq/ERR757/ERR757146/ERR757146_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR757/ERR757146/ERR757146_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR757/ERR757146/Eldholm-TubDNA-M6_S8_L001_R1_001.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR757/ERR757146/Eldholm-TubDNA-M6_S8_L001_R2_001.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR757/ERR757146
PRJEB7669	SAMEA3231526	ERX701777	ERR757147	1773	Mycobacterium tuberculosis	ftp.sra.ebi.ac.uk/vol1/fastq/ERR757/ERR757147/ERR757147_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR757/ERR757147/ERR757147_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR757/ERR757147/Eldholm-TubDNA-M11_S1_L001_R1_001.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR757/ERR757147/Eldholm-TubDNA-M11_S1_L001_R2_001.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR757/ERR757147
PRJEB7669	SAMEA3231527	ERX701778	ERR757148	1773	Mycobacterium tuberculosis	ftp.sra.ebi.ac.uk/vol1/fastq/ERR757/ERR757148/ERR757148_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR757/ERR757148/ERR757148_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR757/ERR757148/Eldholm-TubDNA-M16_S2_L001_R1_001.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR757/ERR757148/Eldholm-TubDNA-M16_S2_L001_R2_001.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR757/ERR757148
PRJEB7669	SAMEA3231528	ERX701779	ERR757149	1773	Mycobacterium tuberculosis	ftp.sra.ebi.ac.uk/vol1/fastq/ERR757/ERR757149/ERR757149_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR757/ERR757149/ERR757149_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR757/ERR757149/Eldholm-TubDNA-M17_S3_L001_R1_001.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR757/ERR757149/Eldholm-TubDNA-M17_S3_L001_R2_001.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR757/ERR757149
PRJEB7669	SAMEA3231529	ERX701780	ERR757150	1773	Mycobacterium tuberculosis	ftp.sra.ebi.ac.uk/vol1/fastq/ERR757/ERR757150/ERR757150_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR757/ERR757150/ERR757150_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR757/ERR757150/Eldholm-TubDNA-M23_S4_L001_R1_001.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR757/ERR757150/Eldholm-TubDNA-M23_S4_L001_R2_001.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR757/ERR757150
PRJEB7669	SAMEA3231530	ERX701781	ERR757151	1773	Mycobacterium tuberculosis	ftp.sra.ebi.ac.uk/vol1/fastq/ERR757/ERR757151/ERR757151_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR757/ERR757151/ERR757151_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR757/ERR757151/Eldholm-TubDNA-M27_S5_L001_R1_001.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR757/ERR757151/Eldholm-TubDNA-M27_S5_L001_R2_001.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR757/ERR757151
PRJEB7669	SAMEA3231534	ERX701782	ERR757152	1773	Mycobacterium tuberculosis	ftp.sra.ebi.ac.uk/vol1/fastq/ERR757/ERR757152/ERR757152_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR757/ERR757152/ERR757152_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR757/ERR757152/Eldholm-TubDNA-M55_S7_L001_R1_001.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR757/ERR757152/Eldholm-TubDNA-M55_S7_L001_R2_001.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR757/ERR757152
PRJEB7669	SAMEA3231531	ERX701789	ERR757159	1773	Mycobacterium tuberculosis	ftp.sra.ebi.ac.uk/vol1/fastq/ERR757/ERR757159/ERR757159_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR757/ERR757159/ERR757159_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR757/ERR757159/Eldholm-TubDNA3-34_GTTTCG_L003_R1_001.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR757/ERR757159/Eldholm-TubDNA3-34_GTTTCG_L003_R2_001.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR757/ERR757159
PRJEB7669	SAMEA3231532	ERX701790	ERR757160	1773	Mycobacterium tuberculosis	ftp.sra.ebi.ac.uk/vol1/fastq/ERR757/ERR757160/ERR757160_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR757/ERR757160/ERR757160_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR757/ERR757160/Eldholm-gDNA-36_CGATGT_L001_R1_001.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR757/ERR757160/Eldholm-gDNA-36_CGATGT_L001_R2_001.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR757/ERR757160
